Organization ID	Monitoring Location ID	Monitoring Location Name	Activity ID	Activity Start Date	Activity Type	Media	Media Subdivision	Result UID	Characteristic	Fraction	Statistic	Value	Unit	Value Type	Detection Condition	Biological Intent	Taxon Name	Status	Last Changed
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973317	Silicate	"Filtered, field"		330.61	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973318	Nitrate + Nitrite	"Filtered, field"		5.91	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OCO	Camp Olowalu	OCO160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973319	Ammonium	"Filtered, field"		2.74	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:FM:PS:TS:	06-16-2016	Field Msr/Obs	Water		864973320	"Temperature, water"			25.4	deg C	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:FM:PS:TS:	06-16-2016	Field Msr/Obs	Water		864973321	Salinity			27.7	ppt	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:FM:PS:DO:	06-16-2016	Field Msr/Obs	Water		864973322	Dissolved oxygen (DO)			6.61	mg/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:FM:PS:DO:	06-16-2016	Field Msr/Obs	Water		864973323	Dissolved oxygen saturation			97.8	%	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:FM:WB:	06-16-2016	Field Msr/Obs	Water		864973324	Turbidity			5.48	NTU	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:FM:PS:PH:	06-16-2016	Field Msr/Obs	Water		864973325	pH			7.91	None	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973326	"Total Nitrogen, mixed forms"	"Filtered, field"		107.57	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973327	"Total Phosphorus, mixed forms"	"Filtered, field"		15.37	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973328	Orthophosphate	"Filtered, field"		7.28	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973329	Silicate	"Filtered, field"		451.55	ug/l	Actual				Final	11-27-2020 3:30:51 PM
HUIWAIOLA_WQX	OMM	Mile Marker 14	OMM160616:SR:WB:	06-16-2016	Sample-Routine	Water		864973330	Nitrate + Nitrite	"Filtered, field"		7.11	ug/l	Actual				Final	11-27-2020 3:30:51 PM
