Downloaded for distibution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+		
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments	
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MML	MML191120		Makena Landing	2019-11-20	7:50	1	1	3	1	1					MML191120	27.3	34.7	6.31	96.3	8.09	1.80	1.96	2.56	2.11	0.190	110			N	3	1	0		
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MMB	MMB191120		Maluaka Beach	2019-11-20	8:30	1	1	3	1	1					MMB191120	27.2	34.7	6.42	98.3	8.13	1.59	1.92	1.52	1.68	0.127	279			NA	3	7	0		
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MON	MON191120		Oneuli	2019-11-20	8:58	1	1	3	1	1					MON191120	27.3	35.0	6.31	96.8	8.11	2.28	2.08	2.17	2.18	0.046	52			NA	0	5	0		
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MAN	MAN191120		Ahihi North	2019-11-20	9:16	1	1	3	1	1					MAN191120	27.3	34.9	6.77	103.7	8.10	0.71	0.79	1.56	1.02	0.460	0			NA	2	4	0		
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MAS	MAS191120		Ahihi South	2019-11-20	9:39	1	1	3	1	1					MAS191120	27.4	35.2	6.60	101.3	8.17	0.87	0.85	0.84	0.85	0.018	10			NA	13	13	0		
yes	yes	yes	no	no	42	Makena	NMS	JD	BS	SF	MML	MML191211		Makena Landing	2019-12-11	8:04	2	2	4	2	2					MML191211	25.6	35.1	6.72	100.1	8.13	1.45	1.99	2.57	2.00	0.280	135			N	6	4	0		
yes	yes	yes	no	no	42	Makena	NMS	JD	BS	SF	MMB	MMB191211		Maluaka Beach	2019-12-11	8:37	2	2	4	2	2					MMB191211	26.4	35.3	6.84	103.3	8.13	1.20	1.13	1.08	1.14	0.053	20			NA	0	2	0		
yes	yes	yes	no	no	42	Makena	NMS	JD	BS	SF	MON	MON191211		Oneuli	2019-12-11	8:56	2	2	4	2	2					MON191211	26.4	35.4	6.83	103.4	8.13	1.48	1.18	1.17	1.28	0.138	0			NA	0	4	0	took 4th turbidity reading used 1.48	
yes	yes	yes	no	no	42	Makena	NMS	JD	BS	SF	MAN	MAN191211		Ahihi North	2019-12-11	9:22	2	2	4	2	2					MAN191211	26.1	35.1	7.14	107.3	8.11	1.62	1.97	1.66	1.75	0.109	41			NA	5	4	0		
yes	yes	yes	no	no	42	Makena	NMS	JD	BS	SF	MAS	MAS191211		Ahihi South	2019-12-11	9:44	2	2	4	2	2					MAS191211	26.3	34.8	6.81	102.3	8.12	2.93	3.35	2.97	3.08	0.075	0			NA	5	5	0		
yes	yes	yes	no	no	43	Makena	NMS	GB	MS	SF	MML	MML200115		Makena Landing	2020-01-15	7:58	1	1	3	1	1					MML200115	25.3	34.5	6.57	97.3	8.14	0.92	1.08	0.96	0.99	0.084	10			N	4	4	0		
yes	yes	yes	no	no	43	Makena	NMS	GB	MS	SF	MMB	MMB200115		Maluaka Beach	2020-01-15	8:20	1	1	3	1	1					MMB200115	25.2	34.7	6.61	97.8	8.18	1.57	1.92	1.74	1.74	0.100	52			NA	0	0	0		
yes	yes	yes	no	no	43	Makena	NMS	GB	MS	SF	MON	MON200115		Oneuli	2020-01-15	8:43	1	1	3	1	1					MON200115	25.3	34.7	6.41	95.1	8.14	3.32	3.17	3.29	3.26	0.024	0			NA	2	0	0		
yes	yes	yes	no	no	43	Makena	NMS	GB	MS	SF	MAN	MAN200115		Ahihi North	2020-01-15	9:05	1	1	3	1	1					MAN200115	25.1	34.4	6.46	95.2	8.05	0.99	1.00	1.09	1.03	0.054	0			NA	5	1	0		
yes	yes	yes	no	no	43	Makena	NMS	GB	MS	SF	MAS	MAS200115		Ahihi South	2020-01-15	9:24	1	1	3	1	1					MAS200115	25.3	34.7	6.49	96.2	8.16	2.26	2.18	2.15	2.20	0.026	0			NA	4	9	0		
yes	yes	yes	no	no	44	Makena	NMS	BS	SF	JS	MML	MML200205		Makena Landing	2020-02-05	7:58	2	2	4	2	2					MML200205	24.5	34.4	6.76	98.4	8.16	1.03	1.01	0.87	0.97	0.090	10			N	3	5	0		
yes	yes	yes	no	no	44	Makena	NMS	BS	SF	JS	MMB	MMB200205		Maluaka Beach	2020-02-05	8:26	2	2	4	2	2					MMB200205	24.9	34.5	6.89	101.1	8.15	1.13	1.10	1.45	1.23	0.158	0			NA	1	4	0		
yes	yes	yes	no	no	44	Makena	NMS	BS	SF	JS	MON	MON200205		Oneuli	2020-02-05	8:50	2	2	4	2	2					MON200205	25.0	34.9	6.32	93.2	8.09	0.81	0.86	0.88	0.85	0.042	0			NA	0	4	0		
yes	yes	yes	no	no	44	Makena	NMS	BS	SF	JS	MAN	MAN200205		Ahihi North	2020-02-05	9:12	2	2	4	2	2					MAN200205	25.1	34.3	7.40	108.7	8.08	1.07	1.09	1.50	1.22	0.199	20			NA	2	2	0		
yes	yes	yes	no	no	44	Makena	NMS	BS	SF	JS	MAS	MAS200205		Ahihi South	2020-02-05	9:35	2	2	4	2	2					MAS200205	25.1	34.4	6.70	98.8	8.11	1.19	1.18	1.16	1.18	0.013	10			NA	17	23	0		
yes	yes	yes	no	no	45	Makena	NMS	BS	MS	JD	MML	MML200226		Makena Landing	2020-02-26	8:00	1	1	3	1	1					MML200226	24.2	34.7	6.74	97.3	8.16	1.38	1.21	1.18	1.26	0.086	10			N	0	0	0		
yes	yes	yes	no	no	45	Makena	NMS	BS	MS	JD	MMB	MMB200226		Maluaka Beach	2020-02-26	8:23	1	1	3	1	1					MMB200226	24.6	34.9	6.61	96.2	8.17	1.19	1.22	1.27	1.23	0.033	0			NA	4	2	0		
yes	yes	yes	no	no	45	Makena	NMS	BS	MS	JD	MON	MON200226		Oneuli	2020-02-26	8:42	1	1	3	1	1					MON200226	24.6	34.9	6.60	96.0	8.15	0.93	1.01	0.99	0.98	0.043	0			NA	0	0	0		
yes	yes	yes	no	no	45	Makena	NMS	BS	MS	JD	MAN	MAN200226		Ahihi North	2020-02-26	9:03	1	1	3	1	1					MAN200226	24.4	34.7	7.01	101.4	8.08	1.11	1.14	1.04	1.10	0.047	0			NA	0	0	0		
yes	yes	yes	no	no	45	Makena	NMS	BS	MS	JD	MAS	MAS200226		Ahihi South	2020-02-26	9:23	1	1	3	1	1					MAS200226	24.9	34.1	6.50	94.7	8.08	1.13	1.10	1.02	1.08	0.052	0			NA	11	5	0		
yes	yes	yes	no	no	46	Makena	NMS	TS	JS		MML	MML200506		Makena Landing	2020-05-06	8:05	2	2	4	2	2					MML200506	25.1	33.2	6.69	97.7	8.14	1.34	1.13	1.35	1.27	0.098	10			N	5	3	0	MML: 2 canoes in water near sample site, flat and clear	
yes	yes	yes	no	no	46	Makena	NMS	TS	JS		MMB	MMB200506		Maluaka Beach	2020-05-06	8:30	2	2	4	2	2					MMB200506	25.4	33.5	6.71	98.7	8.14	0.57	0.48	0.52	0.52	0.086	0			NA	6	5	0	MMB: clear, flat, no wind	
yes	yes	no	no	no	46	Makena	NMS				MON	MON200506		Oneuli	2020-05-06											MON200506														NA				MON: not able to sample due to gate closure	
yes	yes	yes	no	no	46	Makena	NMS	TS	JS		MAN	MAN200506		Ahihi North	2020-05-06	9:05	2	2	4	2	2					MAN200506	25.3	34.2	7.22	106.4	8.13	3.16	2.57	2.46	2.73	0.138	10			NA	10	0	0	MAN: small waves, did salinity and D.O 2x and numbers were the same	
yes	yes	yes	no	no	46	Makena	NMS	TS	JS		MAS	MAS200506		Ahihi South	2020-05-06	9:30	2	2	4	2	2					MAS200506	25.2	34.3	6.76	99.5	8.13	4.90	5.43	6.23	5.52	0.121	0			NA	4	1	0		
yes	yes	yes	no	no	47	Makena	NMS	JS			MML	MML200610		Makena Landing	2020-06-10	8:10	1	1	3	1	1					MML200610	26.1	34.5	6.67	99.8	8.11	2.56	2.42	2.84	2.61	0.082	10			N	0	0	0	very clear and little wind at all sites	
yes	yes	yes	no	no	47	Makena	NMS	JS			MMB	MMB200610		Maluaka Beach	2020-06-10	8:50	1	1	3	1	1					MMB200610	26.9	34.6	6.61	100.4	8.12	0.97	1.39	1.24	1.20	0.177	0			NA	1	4	0	MON - Gate was closed.  Sign saying prk closed.  Talked to ranger at Ahihi and he said we do have permission to sample at this site.  Sample was taken after MAS sire.	
yes	yes	yes	no	no	47	Makena	NMS	JS			MON	MON200610		Oneuli	2020-06-10	10:45	1	1	3	1	1					MON200610	27.9	34.3	7.09	100.4	8.18	1.74	1.95	2.20	1.96	0.117	0			NA	0	0	0		
yes	yes	yes	no	no	47	Makena	NMS	JS			MAN	MAN200610		Ahihi North	2020-06-10	9:35	1	1	3	1	1					MAN200610	26.4	34.8	7.13	107.4	8.13	0.93	1.16	1.02	1.04	0.112	0			NA	0	0	0		
yes	yes	yes	no	no	47	Makena	NMS	JS			MAS	MAS200610		Ahihi South	2020-06-10	10:08	1	1	3	1	1					MAS200610	26.4	34.8	6.83	103.0	8.19	1.31	1.29	1.31	1.30	0.009	0			NA	0	20	0		
yes	yes	yes	no	no	48	Makena	NMS	JS			MML	MML200701		Makena Landing	2020-07-01	8:20	2	2	4	2	2					MML200701	26.2	34.3	6.70	100.5	8.14	8.07	6.20	7.47	7.25	0.132	0			N	0	0	0		
yes	yes	yes	no	no	48	Makena	NMS	JS			MMB	MMB200701		Maluaka Beach	2020-07-01	8:55	2	2	4	2	2					MMB200701	27.2	33.9	6.69	101.8	8.12	1.36	1.24	1.34	1.31	0.049	0			NA	0	0	0		
yes	yes	yes	no	no	48	Makena	NMS	JS			MON	MON200701		Oneuli	2020-07-01	9:25	2	2	4	2	2					MON200701	27.5	34.1	6.99	107.3	8.15	1.34	1.73	1.66	1.58	0.132	0			NA	0	0	0		
yes	yes	yes	no	no	48	Makena	NMS	JS			MAN	MAN200701		Ahihi North	2020-07-01	9:55	2	2	4	2	2					MAN200701	26.9	35.0	7.18	109.6	8.15	1.67	1.47	1.75	1.63	0.088	0			NA	0	0	0		
yes	yes	yes	no	no	48	Makena	NMS	JS			MAS	MAS200701		Ahihi South	2020-07-01	10:30	2	2	4	2	2					MAS200701	27.5	35.1	6.69	103.3	8.14	1.13	1.21	1.01	1.12	0.090	0			NA	1	2	0		
yes	yes	no	no	no	49	Makena	NMS	BS	MS	JD	MML	MML200722		Makena Landing	2020-07-22	8:05	1	1	3	1	1					MML200722	26.6	33.8	6.27	94.2	8.11	7.49	7.46	7.15	7.37	0.026	10			N	0	0	0	took 4th turbidity reading	
yes	yes	yes	no	no	49	Makena	NMS	BS	MS	JD	MMB	MMB200722		Maluaka Beach	2020-07-22	8:29	1	1	3	1	1					MMB200722	27.0	34.6	6.18	94.1	8.13	0.92	0.94	0.90	0.92	0.022	0			NA	0	0	0		
yes	yes	no	no	no	49	Makena	NMS	BS	MS	JD	MON	MON200722		Oneuli	2020-07-22	8:50	1	1	3	1	1					MON200722	27.3	34.6	6.05	92.4	8.09	1.16	0.90	0.92	0.99	0.146	0			NA	0	2	0		
yes	yes	yes	no	no	49	Makena	NMS	BS	MS	JD	MAN	MAN200722		Ahihi North	2020-07-22	9:12	1	1	3	1	1					MAN200722	27.0	34.8	6.79	103.3	8.11	0.89	0.91	0.95	0.92	0.033	0			NA	0	0	0		
yes	yes	yes	no	no	49	Makena	NMS	BS	MS	JD	MAS	MAS200722		Ahihi South	2020-07-22	9:37	1	1	3	1	1					MAS200722	26.9	34.3	6.41	97.2	8.11	1.08	0.91	0.96	0.98	0.089	0			NA	6	8	0		
yes	yes	yes	no	no	50	Makena/Wailea	DHS	BS	AW	JD	WKD	WKD200812		Kilohana DR	2020-08-12	8:05	2	2	4	2	2					WKD200812	27.0	34.9	6.48	99.1	8.13	0.45	0.62	0.49	0.52	0.171				N	1	8	0	took 2nd NTU reading and used it	
yes	yes	yes	no	no	50	Makena/Wailea	DHS	BS	AW	JD	WKB	WKB200812		Keawakapu Beach	2020-08-12	8:18	2	2	4	2	2					WKB200812	27.1	35.0	6.57	100.5	8.13	0.42	0.40	0.39	0.40	0.038				NA	0	6	0		
yes	yes	yes	no	no	50	Makena/Wailea	DHS	BS	AW	JD	WUL	WUL200812		Ulua Beach	2020-08-12	8:35	2	2	4	2	2					WUL200812	27.0	34.7	6.59	100.6	8.11	1.35	1.47	1.29	1.37	0.067				NA	6	6	0		
yes	yes	yes	no	no	50	Makena/Wailea	DHS	BS	AW	JD	MMB	MMB200812		S Maluaka Beach	2020-08-12	9:01	2	2	4	2	2					MMB200812	27.6	34.9	6.50	100.3	8.15	0.50	0.52	0.53	0.52	0.030				NA	5	6	0		
yes	yes	yes	no	no	50	Makena/Wailea	DHS	BS	AW	JD	MAN	MAN200812		Ahihi North	2020-08-12	9:21	2	2	4	2	2					MAN200812	26.7	34.5	6.82	103.5	8.08	0.53	0.77	0.73	0.68	0.190				NA	0	0	0		
yes	yes	yes	no	no	50	Makena/Wailea	DHS	BS	AW	JD	MAS	MAS200812		Ahihi South	2020-08-12	9:37	2	2	4	2	2					   MAS200812	26.6	34.9	6.34	96.4	8.09	0.55	0.68	0.66	0.63	0.111				NA	0	2	0		
yes	yes	yes	no	no	51	Makena/Wailea	DHS	BS	AA	JD	WKD	WKD200902		Kilohana DR	2020-09-02	7:55	1	2	3	1	1					WKD200902	26.6	34.9	6.31	95.7	8.08	0.75	0.82	0.70	0.76	0.080				N	3	5	0		
yes	yes	yes	no	no	51	Makena/Wailea	DHS	BS	AA	JD	WKB	WKB200902		Keawakapu Beach	2020-09-02	8:13	1	2	3	1	1					WKB200902	26.4	35.1	6.42	97.4	8.09	0.48	0.50	0.46	0.48	0.042				NA	3	3	0		
yes	yes	yes	no	no	51	Makena/Wailea	DHS	BS	AA	JD	WUL	WUL200902		Ulua Beach	2020-09-02	8:29	1	2	3	1	1					WUL200902	26.4	34.3	6.38	96.4	8.06	0.64	0.81	0.63	0.69	0.146				NA	3	6	0	took 4th turb reading and used .81	
yes	yes	yes	no	no	51	Makena/Wailea	DHS	BS	AA	JD	MMB	MMB200902		S Maluaka Beach	2020-09-02	8:55	1	2	3	1	1					MMB200902	26.5	34.6	6.31	95.9	8.09	0.53	0.53	0.64	0.57	0.112				NA	1	5	0		
yes	yes	yes	no	no	51	Makena/Wailea	DHS	BS	AA	JD	MAN	MAN200902		Ahihi North	2020-09-02	9:17	1	2	3	1	1					MAN200902	26.5	34.2	7.56	114.2	8.05	1.87	2.69	2.22	2.26	0.182				NA	0	4	0		
yes	yes	yes	no	no	51	Makena/Wailea	DHS	BS	AA	JD	MAS	MAS200902		Ahihi South	2020-09-02	9:37	1	2	3	1	1					   MAS200902	26.8	34.5	6.69	101.6	8.11	0.55	0.49	0.75	0.60	0.228				NA	0	2	0	took 4th turb reading and used .75	
yes	yes	yes	no	no	52	Makena/Wailea	DHS	AA	JD	NS	WKD	WKD200923		Kilohana DR	2020-09-23	7:56	2	2	4	2	2					WKD200923	27.0	35.2	6.71	102.1	8.13	1.38	1.61	1.52	1.50	0.077					0	2	0	volunteers forgot to record pre-sampling blank value	
yes	yes	yes	no	no	52	Makena/Wailea	DHS	AA	JD	NS	WKB	WKB200923		Keawakapu Beach	2020-09-23	8:12	2	2	4	2	2					WKB200923	27.3	35.2	6.61	101.2	8.12	0.80	0.92	0.89	0.87	0.072					2	2	0		
yes	yes	yes	no	no	52	Makena/Wailea	DHS	AA	JD	NS	WUL	WUL200923		Ulua Beach	2020-09-23	8:17	2	2	4	2	2					WUL200923	27.2	35.0	6.72	102.5	8.11	1.54	1.55	1.33	1.47	0.084					3	4	0		
yes	yes	yes	no	no	52	Makena/Wailea	DHS	AA	JD	NS	MMB	MMB200923		S Maluaka Beach	2020-09-23	8:47	2	2	4	2	2					MMB200923	27.4	35.0	6.70	102.8	8.15	0.85	0.92	1.03	0.93	0.097					0	1	0		
yes	yes	yes	no	no	52	Makena/Wailea	DHS	AA	JD	NS	MAN	MAN200923		Ahihi North	2020-09-23	9:06	2	2	4	2	2					MAN200923	27.2	34.9	7.06	107.7	8.07	0.57	0.74	0.69	0.67	0.131					0	0	0		
yes	yes	yes	no	no	52	Makena/Wailea	DHS	AA	JD	NS	MAS	MAS200923		Ahihi South	2020-09-23	9:23	2	2	4	2	2					MAS200923	27.5	35.1	6.59	101.4	8.08	1.26	1.36	1.39	1.34	0.051					2	0	0		
yes	yes	yes	no	no	53	Makena/Wailea	DHS	AW	NS	JD	WKD	WKD201014		Kilohana DR	2020-10-14	8:00	1	1	3	2	1					WKD201014	27.0	35.0	6.65	101.8	8.12	1.41	1.47	1.42	1.43	0.022					1	2	0	second reading	
yes	yes	yes	no	no	53	Makena/Wailea	DHS	AW	NS	JD	WKB	WKB201014		Keawakapu Beach	2020-10-14	8:21	1	1	3	2	1					WKB201014	27.5	35.2	6.68	103.0	8.13	0.52	0.82	0.54	0.63	0.268					3	2	0		
yes	yes	yes	no	no	53	Makena/Wailea	DHS	AW	NS	JD	WUL	WUL201014		Ulua Beach	2020-10-14	8:37	1	1	3	2	1					WUL201014	27.4	34.6	6.55	100.5	8.09	1.54	1.92	1.65	1.70	0.115					3	2	0		
yes	yes	yes	no	no	53	Makena/Wailea	DHS	AW	NS	JD	MMB	MMB201014		S Maluaka Beach	2020-10-14	8:59	1	1	3	2	1					MMB201014	27.6	34.3	6.49	99.7	8.11	0.78	0.84	0.90	0.84	0.071					0	0	0	second reading	
yes	yes	yes	no	no	53	Makena/Wailea	DHS	AW	NS	JD	MAN	MAN201014		Ahihi North	2020-10-14	9:18	1	1	3	2	1					MAN201014	27.6	34.8	7.58	116.9	8.14	1.07	1.06	1.18	1.10	0.060					0	0	0		
yes	yes	yes	no	no	53	Makena/Wailea	DHS	AW	NS	JD	MAS	MAS201014		Ahihi South	2020-10-14	9:38	1	1	3	2	1					MAS201014	27.6	34.6	6.81	105.4	8.11	1.26	1.28	1.29	1.28	0.012					0	0	0		
yes	yes	yes	no	no	54	Makena/Wailea	DHS	AW	JD	BS	WKD	WKD201104		Kilohana DR	2020-11-04	7:54	2	2	4	2	2					WKD201104	27.1	35.1	6.54	99.9	8.12	0.74	0.92	0.92	0.86	0.121					0	5	0	HD40D(2) having trouble turning on. Turned on, checked batteries and then it worked. 	
yes	yes	yes	no	no	54	Makena/Wailea	DHS	AW	JD	BS	WKB	WKB201104		Keawakapu Beach	2020-11-04	8:14	2	2	4	2	2					WKB201104	27.3	35.2	6.45	98.9	8.11	0.65	0.60	0.79	0.68	0.145					0	2	0		
yes	yes	yes	no	no	54	Makena/Wailea	DHS	AW	JD	BS	WUL	WUL201104		Ulua Beach	2020-11-04	8:28	2	2	4	2	2					WUL201104	27.2	35.1	6.53	99.9	8.13	0.93	0.92	0.90	0.92	0.017					3	4	0		
yes	yes	yes	no	no	54	Makena/Wailea	DHS	AW	JD	BS	MMB	MMB201104		S Maluaka Beach	2020-11-04	8:50	2	2	4	2	2					MMB201104	27.2	35.2	6.33	96.9	8.13	0.49	0.52	0.40	0.47	0.133					2	3	0		
yes	yes	yes	no	no	54	Makena/Wailea	DHS	AW	JD	BS	MAN	MAN201104		Ahihi North	2020-11-04	9:12	2	2	4	2	2					MAN201104	26.9	35.0	6.74	102.4	8.03	1.17	1.05	1.19	1.14	0.067					0	2	0		
yes	yes	yes	no	no	54	Makena/Wailea	DHS	AW	JD	BS	MAS	MAS201104		Ahihi South	2020-11-04	9:30	2	2	4	2	2					MAS201104	27.2	34.8	6.37	97.5	8.06	1.51	1.46	1.70	1.56	0.081					0	2	0		
yes	yes	yes	no	no	55	Makena/Wailea	DHS	AW	MS	BS	WKD	WKD201118		Kilohana DR	2020-11-18	7:55	1	1	3	2	1					WKD201118	26.0	35.5	6.63	99.7	8.11	0.89	0.92	0.96	0.92	0.038					1	7	0	volunteers forgot to do presampling turbidity	
yes	yes	yes	no	no	55	Makena/Wailea	DHS	AW	MS	BS	WKB	WKB201118		Keawakapu Beach	2020-11-18	8:14	1	1	3	2	1					WKB201118	26.2	35.5	6.51	98.2	8.12	0.51	0.58	0.56	0.55	0.066					0	4	0		
yes	yes	no	no	no	55	Makena/Wailea	DHS	AW	MS	BS	WUL	WUL201118		Ulua Beach	2020-11-18	8:43	1	1	3	2	1					WUL201118	26.3	35.5	6.54	98.9	8.13	0.78	0.84	0.87	0.83	0.055					3	4	0	in other bottle marked with green tape (to clarify, volunteers used turbidity bottle for butrients, we discarded and saved money)	
yes	yes	yes	no	no	55	Makena/Wailea	DHS	AW	MS	BS	MMB	MMB201118		S Maluaka Beach	2020-11-18	9:17	1	1	3	2	1					MMB201118	26.2	35.4	6.43	97.2	8.13	0.58	0.65	0.59	0.61	0.062					5	0	0	one tour boat leaving shore; mist	
yes	yes	yes	no	no	55	Makena/Wailea	DHS	AW	MS	BS	MAN	MAN201118		Ahihi North	2020-11-18	9:27	1	1	3	2	1					MAN201118	26.1	35.2	6.12	92.2	8.00	0.81	0.89	0.86	0.85	0.047					2	4	0		
yes	yes	yes	no	no	55	Makena/Wailea	DHS	AW	MS	BS	MAS	MAS201118		Ahihi South	2020-11-18	9:50	1	1	3	2	1					MAS201118	26.3	35.3	6.50	98.3	8.10	1.37	1.43	1.60	1.47	0.081					6	0	0		
yes	yes	yes	no	no	56	Makena/Wailea	DHS	MS	BS	JD	WKD	WKD201209		Kilohana DR	2020-12-09	7:57	2	2	4	2	2					WKD201209	25.4	35.2	6.72	99.9	8.15	2.12	1.37	0.99	1.49	0.385					2	4	0	Retested pre-sample after cleaning vial	
yes	yes	yes	no	no	56	Makena/Wailea	DHS	MS	BS	JD	WKB	WKB201209		Keawakapu Beach	2020-12-09	8:20	2	2	4	2	2					WKB201209	25.9	35.4	6.62	99.1	8.14	0.55	0.73	0.58	0.62	0.156					2	5	0	Note: batteries failed in HD40-replaced batteries	
yes	yes	yes	no	no	56	Makena/Wailea	DHS	MS	BS	JD	WUL	WUL201209		Ulua Beach	2020-12-09	8:37	2	2	4	2	2					WUL201209	25.8	35.3	6.71	99.9	8.12	1.63	1.63	1.11	1.46	0.206					4	8	0		
yes	yes	yes	no	no	56	Makena/Wailea	DHS	MS	BS	JD	MMB	MMB201209		S Maluaka Beach	2020-12-09	9:02	2	2	4	2	2					MMB201209	25.7	35.2	6.55	97.8	8.15	1.22	0.82	1.02	1.02	0.196					0	9	0		
yes	yes	yes	no	no	56	Makena/Wailea	DHS	MS	BS	JD	MAN	MAN201209		Ahihi North	2020-12-09	9:23	2	2	4	2	2					MAN201209	25.9	35.2	7.12	106.5	8.14	1.53	1.87	1.71	1.70	0.100					2	0	0		
yes	yes	yes	no	no	56	Makena/Wailea	DHS	MS	BS	JD	MAS	MAS201209		Ahihi South	2020-12-09	9:41	2	2	4	2	2					MAS201209	26.1	35.2	6.61	99.4	8.14	1.21	1.06	0.94	1.07	0.126					0	2	0		
yes	yes	yes	no	no	57	Makena/Wailea	DHS	MS	BS	JD	WKD	WKD210106		Kilohana DR	2021-01-06	8:03	1	1	3	2	1					WKD210106	24.8	35.5	6.70	98.1	8.10	0.81	0.87	0.99	0.89	0.103					3	3	0		
yes	yes	yes	no	no	57	Makena/Wailea	DHS	MS	BS	JD	WKB	WKB210106		Keawakapu Beach	2021-01-06	8:23	1	1	3	2	1					WKB210106	25.1	35.5	6.64	97.7	8.11	1.49	1.32	1.32	1.38	0.071					0	4	0		
yes	yes	yes	no	no	57	Makena/Wailea	DHS	MS	BS	JD	WUL	WUL210106		Ulua Beach	2021-01-06	8:39	1	1	3	2	1					WUL210106	25.5	35.5	6.69	99.2	8.12	1.08	0.86	0.97	0.97	0.113					2	2	0		
yes	yes	yes	no	no	57	Makena/Wailea	DHS	MS	BS	JD	MMB	MMB210106		S Maluaka Beach	2021-01-06	9:05	1	1	3	2	1					MMB210106	25.3	35.4	6.80	100.5	8.15	1.42	1.41	1.35	1.39	0.027					1	6	0		
yes	yes	yes	no	no	57	Makena/Wailea	DHS	MS	BS	JD	MAN	MAN210106		Ahihi North	2021-01-06	9:27	1	1	3	2	1					MAN210106	25.2	35.4	6.90	101.7	8.05	0.69	0.65	0.72	0.69	0.051					3	0	0		
yes	yes	yes	no	no	57	Makena/Wailea	DHS	MS	BS	JD	MAS	MAS210106		Ahihi South	2021-01-06	9:50	1	1	3	2	1					MAS210106	25.3	35.6	6.35	94.0	8.09	1.19	1.14	1.09	1.14	0.044					5	12	0		
yes	yes	yes	no	no	58	Makena/Wailea	DHS	JD	MS	BS	KCP	KCP210127		Cove Park	2021-01-27	8:31	2	2	4	2	2					KCP210127	25.1	33.3	6.41	93.6	8.09	3.30	3.48	2.78	3.19	0.114					0	0	1	KCP #4 turbidity reading 3.30	
yes	yes	yes	no	no	58	Makena/Wailea	DHS	JD	MS	BS	MMB	MMB210127		S Maluaka Beach	2021-01-27	9:07	2	2	4	2	2					MMB210127	25.2	35.3	6.66	98.6	8.16	1.25	0.80	0.91	0.99	0.238					1	2	0	All sites calm, no wind	
yes	yes	yes	no	no	58	Makena/Wailea	DHS	JD	MS	BS	MAN	MAN210127		Ahihi North	2021-01-27	9:31	2	2	4	2	2					MAN210127	25.1	35.3	7.24	106.6	8.12	2.14	1.27	1.11	1.51	0.368					0	0	0		
yes	yes	yes	no	no	58	Makena/Wailea	DHS	JD	MS	BS	MAS	MAS210127		Ahihi South	2021-01-27	9:55	2	2	4	2	2					MAS210127	25.2	34.6	6.65	98.2	8.10	2.09	2.00	1.89	1.99	0.050					2	2	0		
yes	yes	yes	no	no	59	Makena/Wailea	DHS	JD	BS		KCP	KCP210217		Cove Park	2021-02-17	8:41	1	1	3	1	1					KCP210217	24.5	34.1	6.78	98.0	8.10	3.98	3.54	4.11	3.88	0.077					50	20	0	50+ people in the water	
yes	yes	yes	no	no	59	Makena/Wailea	DHS	JD	BS		MMB	MMB210217		S Maluaka Beach	2021-02-17	9:21	1	1	3	1	1					MMB210217	24.9	35.3	6.82	100.2	8.15	2.33	2.05	2.50	2.29	0.099					2	6	0		
yes	yes	yes	no	no	59	Makena/Wailea	DHS	JD	BS		MAN	MAN210217		Ahihi North	2021-02-17	9:47	1	1	3	1	1					MAN210217	24.9	35.3	6.91	101.2	8.08	1.00	1.01	1.10	1.04	0.053					3	0	0		
yes	yes	yes	no	no	59	Makena/Wailea	DHS	JD	BS		MAS	MAS210217		Ahihi South	2021-02-17	10:06	1	1	3	1	1					MAS210217	25.0	35.0	6.67	98.0	8.09	2.12	2.88	2.64	2.55	0.153					3	2	0		
yes	yes	yes	no	no	60	Makena/Wailea	DHS	JD	BS	MS	KCP	KCP210310		Cove Park	2021-03-10	8:40	2	2	4	2	2					KCP210310	25.0	31.9	6.06	87.3	8.06	2.00	1.78	1.72	1.83	0.080					1	1	0	Dog in water; deficated on beach	
yes	yes	yes	no	no	60	Makena/Wailea	DHS	JD	BS	MS	MMB	MMB210310		S Maluaka Beach	2021-03-10	9:10	2	2	4	2	2					MMB210310	24.3	35.3	6.67	97.4	8.16	0.53	0.55	0.52	0.53	0.029					12	6	0	could not get post-sampling blank below 0.21 NTU. tried cleaning with oil, etc. - Tiara	
