Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NSB	NSB180802		Sugar Beach	2018-08-02	9:05	2	2	2	2	2	21	1	0	Trades	NSB180802	27.4	35.4	6.48	99.6	8.18	3.52	3.88	3.40	3.60	0.069		1	2		0	6	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NKC	NKC180802		Kihei Canoe Club	2018-08-02	9:20	2	2	2	2	2	21	1	0	Trades	NKC180802	27.5	35.1	6.45	99.2	8.18	3.45	3.57	3.97	3.66	0.074		2	3		0	20	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NMP	NMP180802		Mai Poina Oe Iau	2018-08-02	9:39	2	2	2	2	2	21	1	0	Trades	NMP180802	27.4	33.2	6.42	97.6	8.13	1.96	2.22	2.21	2.13	0.069		1	2		0	1	0	
yes	yes	yes	no	no	19	North Kihei	NMS				NHP	NHP180823		Haycraft Park	2018-08-23											NHP180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NKP	NKP180823		Kealia Pond	2018-08-23											NKP180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NSB	NSB180823		Sugar Beach	2018-08-23											NSB180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NKC	NKC180823		Kihei Canoe Club	2018-08-23											NKC180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NMP	NMP180823		Mai Poina Oe Iau	2018-08-23											NMP180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NHP	NHP180913		Haycraft Park	2018-09-13	8:25	2	2	2	2	2	4	4	3	Trades	NHP180913	26.8	34.8	6.44	98.0	8.17	8.67	8.88	8.69	8.75	0.013		1	2		0	6	0	
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NKP	NKP180913		Kealia Pond	2018-09-13	8:50	2	2	2	2	2	4	4	3	Trades	NKP180913	27.0	35.4	6.44	98.5	8.2	1.33	1.39	1.67	1.46	0.124		1	4		0	1	0	
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NSB	NSB180913		Sugar Beach	2018-09-13	9:20	2	2	2	2	2	4	4	3	Trades	NSB180913	28.0	35.3	6.44	100.4	8.19	2.61	2.03	2.49	2.38	0.129		1	0		0	3	0	NSB - spilled nutrient bottle, resampled with spare bottle & syringe
